APM421H1-F|LEC5101|Sigal, I.|###!###!###!BA 2135$17:00~18:00!BA 2135$15:00~17:00
APM426H1-F|LEC0101|McCann, R.|###!VC 101$15:00~16:30!###!ES 4000$14:00~15:30!###
APM446H1-S|LEC0101|Stinchcombe, A.|BA 1240$11:00~12:00!###!BA 1240$11:00~12:00!###!BA 1240$11:00~12:00
APM461H1-S|LEC0101|Kopparty, S.|###!HA 401$13:00~16:00!###!###!###
APM462H1-F|LEC0101|Korman, J.|GB 120$15:00~16:00!###!GB 120$15:00~16:00!###!GB 120$15:00~16:00
APM462H1-S|LEC5101|Korman, J.|SF 1105$18:00~21:00!###!###!###!###
APM466H1-S|LEC0101|Seco, L.|SS 2102$11:00~14:00!###!###!###!###
APM466H1-S|LEC2001|Seco, L.|SS 2102$11:00~14:00!###!###!###!###
APM496H1-F|LEC0101|NA|###!###!###!###!###
APM496H1-S|LEC0101|NA|###!###!###!###!###
ARH205H1-F|LEC0101|Banning, E.|MP 137$10:00~12:00!###!###!###!###
ARH309H1-F|LEC0101|Jennings, J.|###!###!###!SS 1073$10:00~12:00!###
ARH312Y1-Y|LEC0101|Banning, E.|###!AP 130;AP 130$14:00~17:00!###!###!###
ARH361H1-F|LEC0101|NA|###!###!###!###!###
ARH361H1-S|LEC0101|NA|###!###!###!###!###
ARH361H1-Y|LEC0101|NA|###!###!###!###!###
ARH361Y1-F|LEC0101|NA|###!###!###!###!###
ARH361Y1-S|LEC0101|NA|###!###!###!###!###
ARH361Y1-Y|LEC0101|NA|###!###!###!###!###
ARH440H1-F|LEC0101|Sapirstein, P.|###!###!BF 415$15:00~17:00!###!###
ARH494H1-S|LEC0101|Rizzuto, B.|###!###!AP 124$16:00~18:00!###!###
ARH495H1-F|LEC0101|NA|###!###!###!###!###
ARH495H1-S|LEC0101|NA|###!###!###!###!###
AST101H1-F|LEC0101|Hincks, A.Hlozek, R.MacDonald, I.Williams, M.|###!CH ---$14:00~15:00!###!CH ---$14:00~15:00!###
AST121H1-S|LEC0101|Friesen, R.|###!###!ES B149$12:00~13:00!###!ES B149$12:00~13:00+ES B149$13:00~14:00
AST198H1-F|LEC0101|Alcorn, L.|AP 124$15:00~17:00!###!###!###!###
AST198H1-S|LEC0101|Herrera Martin, A.|AP 124$15:00~17:00!###!###!###!###
AST199H1-F|LEC0101|Freudenburg, J.|###!AP 124$15:00~17:00!###!###!###
AST199H1-S|LEC0101|Friesen, R.|###!AP 124$15:00~17:00!###!###!###
AST201H1-S|LEC0101|Gaensler, B.MacDonald, I.Webb, J.Williams, M.|###!CH ---$14:00~15:00!###!CH ---$14:00~15:00!###
AST221H1-F|LEC0101|Friesen, R.|GB 119$12:00~13:00!###!GB 119$12:00~13:00!###!GB 119$12:00~13:00
AST222H1-S|LEC0101|Vanderlinde, K.|GB 221$12:00~13:00!###!GB 221$12:00~13:00!###!GB 221$12:00~13:00
AST251H1-S|LEC0101|Webb, J.|###!MS 2158$15:00~17:00!###!###!###
AST299Y1-Y|LEC0101|Matzner, C.|###!###!###!###!###
AST301H1-F|LEC0101|Drout, M.Li, T.|###!###!MY 330$12:00~14:00!###!###
AST320H1-S|LEC0101|van Kerkwijk, M.|BA 1200$14:00~15:00!###!###!###!SS 2117$12:00~13:00
AST320H1-S|LEC2001|van Kerkwijk, M.|BA 1200$14:00~15:00!###!###!###!SS 2117$12:00~13:00
AST325H1-F|LEC0101|Moon, D.|SS 1085$17:00~20:00!###!###!###!###
AST326Y1-Y|LEC0101|Moon, D.|N/A;RW 142$16:00~18:00+SS 1085;N/A$17:00~20:00+N/A;RW 142$19:00~20:00!###!###!###!###
AST424H1-Y|LEC0101|Wu, Y.|###!###!###!###!AB 107;AB 107$15:00~17:00
AST425Y1-Y|LEC0101|Wu, Y.|###!###!###!###!AB 107;AB 107$15:00~17:00
AST430H1-F|LEC0101|NA|###!###!###!###!###
AST430H1-S|LEC0101|NA|###!###!###!###!###
AST430H1-Y|LEC0101|NA|###!###!###!###!###
AST431Y1-Y|LEC0101|NA|###!###!###!###!###
BCB330Y1-Y|LEC0101|NA|###!###!###!###!###
BCB410H1-F|LEC0101|Silva, A.|###!###!NA$10:00~12:00!###!###
BCB420H1-S|LEC0101|Isserlin, R.|###!NA$16:00~18:00!###!###!###
BCB430Y1-Y|LEC0101|NA|###!###!###!###!###
BCH210H1-F|LEC0101|Patterson, S.|###!CH ---$10:00~11:00!###!CH ---$10:00~11:00!CH ---$10:00~11:00
BCH242Y1-Y|LEC0101|Maxwell, K.Patterson, S.Watts, J.|MS 4279;MS 4279$10:00~11:00!###!MS 4279;MS 4279$09:00~12:00!###!MS 4279;MS 4279$10:00~11:00
BCH299Y1-Y|LEC0101|NA|###!###!###!###!###
BCH299Y1-Y|LEC0201|NA|###!###!###!###!###
BCH299Y1-Y|LEC0301|NA|###!###!###!###!###
BCH299Y1-Y|LEC0401|NA|###!###!###!###!###
